Category,Subcategory,Monthly Amount,Type,Notes
Housing,Rent - Cloverdale Commons,$825,Fixed,2BR apartment Southside Birmingham
Housing,Utilities (Electric/Gas/Water),$95,Variable,Avg; lower during road weeks
Insurance,Health Insurance (Ridgeline plan),$320,Fixed,Deducted from paystub
Insurance,F-150 Insurance,$110,Fixed,State Farm — full coverage
Transportation,Phone,$70,Fixed,Samsung Galaxy S24 — AT&T
Medical,CPAP Supplies (avg monthly),$45,Variable,Restwell Medical Supply
Food,Groceries + Road Meals,$600,Variable,Higher on road weeks
Food - Family,Mama Jean Grocery Delivery,$150,Variable,Instacart — paid quietly
Savings,IRA Contribution (Vanguard),$500,Fixed,Monthly auto-deposit
Entertainment,Subscriptions Total,$41,Fixed,Audible $16 + SiriusXM $11 + Pinecone $14
Family,Janelle - gifts/visits avg,$200,Variable,Birthday, Christmas, Nashville trips
Total Expenses,,$2,956,,Leaves ~$2,244 surplus on $5,200 take-home
TRAP ADJACENT,Audible Subscription,$16,Fixed,Adjacent to SiriusXM $11 — do not swap
TRAP ADJACENT,SiriusXM Subscription,$11,Fixed,Adjacent to Audible $16 — do not swap
TRAP ADJACENT,Pinecone Streaming,$14,Fixed,Third subscription item
